,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
340,esperance,59.0,58,121.9,-33.87,0,AU,21.92,1603668411
341,el dorado,60.01,58,-120.52,38.77,1,US,6.93,1603668412
342,fairbanks,33.01,79,-147.72,64.84,1,US,3.44,1603668303
343,beloha,66.96,78,45.05,-25.17,99,MG,4.43,1603668413
344,tocopilla,65.3,60,-70.2,-22.09,99,CL,10.25,1603668413
345,ordynskoye,37.09,90,81.9,54.37,100,RU,15.08,1603668414
346,bosaso,74.35,58,49.18,11.28,38,SO,2.51,1603668414
347,qaqortoq,42.8,41,-46.03,60.72,100,GL,28.86,1603668126
348,straumen,46.0,100,11.3,63.87,0,NO,9.17,1603668415
349,luba,78.76,80,8.55,3.46,99,GQ,1.68,1603668415
350,tigzirt,65.17,46,4.12,36.89,0,DZ,4.25,1603668416
351,bundaberg,82.99,61,152.35,-24.85,75,AU,11.41,1603668332
352,ikwiriri,73.42,90,38.97,-7.96,9,TZ,2.37,1603668416
353,jumla,42.28,54,82.18,29.27,0,NP,6.98,1603668417
354,padang,78.71,70,100.35,-0.95,100,ID,2.3,1603668417
355,goderich,43.0,66,-81.72,43.75,93,CA,13.44,1603668132
356,paso del toro,84.2,70,-96.12,19.03,40,MX,3.36,1603668418
357,lubango,66.25,61,13.49,-14.92,33,AO,2.71,1603668418
358,canchungo,82.4,88,-16.03,12.07,20,GW,2.24,1603668419
359,saint george,60.01,37,-113.58,37.1,73,US,25.28,1603668288
360,aklavik,23.0,79,-135.01,68.22,90,CA,16.11,1603668155
361,beyneu,56.34,88,55.2,45.32,73,KZ,13.69,1603668253
362,la ronge,24.8,53,-105.28,55.1,40,CA,6.93,1603668421
363,izumo,51.8,93,132.77,35.37,20,JP,5.82,1603668421
364,tautira,84.2,70,-149.15,-17.73,40,PF,6.93,1603668421
365,vetlanda,52.0,100,15.08,57.43,100,SE,3.36,1603668422
366,carutapera,79.84,78,-46.02,-1.2,100,BR,7.14,1603668422
367,henties bay,57.99,90,14.28,-22.12,0,NA,3.0,1603668423
368,puerto palomas,80.6,14,-107.62,31.77,1,MX,21.92,1603668423
369,manzanillo,77.97,87,-77.12,20.34,100,CU,5.64,1603668424
370,midland,69.8,45,-102.08,32.0,84,US,23.04,1603668422
371,mumford,78.04,90,-0.76,5.26,42,GH,8.97,1603668424
372,tabora,72.91,59,32.8,-5.02,99,TZ,4.43,1603668425
373,gander,37.4,64,-54.59,48.97,75,CA,12.75,1603668425
374,bathsheba,82.4,74,-59.52,13.22,40,BB,12.75,1603668426
375,santa marinella,55.99,97,11.85,42.03,11,IT,9.91,1603668426
376,yarim,48.79,39,44.38,14.3,5,YE,4.32,1603668426
377,maamba,73.74,33,27.15,-17.37,0,ZM,0.31,1603668427
378,kano,62.6,93,8.52,12.0,68,NG,2.24,1603668427
379,coahuayana,80.6,83,-103.68,18.73,40,MX,13.87,1603668428
380,porto novo,78.8,94,2.6,6.5,40,BJ,2.24,1603668428
